feature,importance
recency_days,0.2658394425061948
last_visit_days_ago,0.15449147445275085
monetary_180d,0.08327509414061718
frequency_180d,0.05474420168037492
avg_discount_pct_180d,0.04859226807158462
category_diversity_180d,0.04429688298535155
product_views_30d,0.04416908741314564
days_since_signup,0.04311969129216348
sessions_30d,0.03805142093346186
avg_rating_180d,0.020652785514441618
cart_adds_30d,0.019834488434923636
email_opens_30d,0.017104402252480028
return_rate_180d,0.016502851049021675
avg_resolution_hours_90d,0.015211184274194765
wishlist_adds_30d,0.015148170696091917
abandoned_carts_30d,0.012355544424970293
campaign_clicks_30d,0.009257557325795496
negative_ticket_rate_90d,0.007319239045997918
ticket_count_90d,0.00515518124622769
age_group_25-34,0.005031188442266099
preferred_category_Makeup,0.004118164765115868
age_group_18-24,0.004093729672525222
city_tier_Tier 1,0.004026148178246638
marketing_consent_No,0.0039692125532833486
preferred_category_Skin Care,0.003941970770011025
preferred_category_Baby Care,0.003933213732476502
loyalty_tier_Silver,0.00389976109198241
acquisition_channel_Marketplace,0.0038989051610448552
acquisition_channel_Google Search,0.00383525477817893
acquisition_channel_Instagram,0.0037989454786485047
acquisition_channel_Organic,0.003758782962581876
city_tier_Tier 2,0.0037021164214467743
preferred_category_Fragrance,0.0035835489890247386
preferred_category_Hair Care,0.00348299881833022
acquisition_channel_Referral,0.003431719110212932
marketing_consent_Yes,0.003383231032018977
city_tier_Tier 3,0.003082139323273643
loyalty_tier_Gold,0.003057669744102499
age_group_35-44,0.002846646290704041
acquisition_channel_Influencer,0.002834560957778883
preferred_category_Wellness,0.0027633812029417646
age_group_45+,0.0024730843940434346
loyalty_tier_Platinum,0.0019326583899711507
